Flow ID,Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Packet Count,Bytes,Label
0-flow,2026-04-04 23:37:47,149.34.123.255,248.151.190.94,10927,445,6,284,34930,LDAP
1-flow,2026-04-04 23:37:48,229.124.104.233,142.126.223.95,2650,389,17,196,30309,Normal
2-flow,2026-04-04 23:37:49,28.153.239.205,14.107.84.151,25931,80,17,467,36592,Normal
3-flow,2026-04-04 23:37:50,163.153.222.21,119.93.219.185,49781,445,6,188,3702,Normal
4-flow,2026-04-04 23:37:51,48.25.38.66,16.213.240.17,64743,443,17,383,29118,Normal
5-flow,2026-04-04 23:37:52,5.69.28.136,63.152.228.52,42985,80,17,343,31592,NetBIOS
6-flow,2026-04-04 23:37:53,185.218.151.229,115.15.121.80,5718,443,6,402,29509,LDAP
7-flow,2026-04-04 23:37:54,168.98.209.248,198.214.19.160,35673,443,6,18,23354,NetBIOS
8-flow,2026-04-04 23:37:55,67.208.24.188,89.112.40.133,52141,443,17,208,5714,Normal
9-flow,2026-04-04 23:37:56,224.208.237.158,149.149.161.191,52314,445,6,271,20818,Normal
10-flow,2026-04-04 23:37:57,45.217.155.199,1.244.96.147,44857,80,6,257,24399,Normal
11-flow,2026-04-04 23:37:58,86.179.4.16,24.51.93.83,11542,445,6,362,36140,Normal
12-flow,2026-04-04 23:37:59,251.189.145.51,81.247.235.239,23054,443,17,53,35075,NetBIOS
13-flow,2026-04-04 23:38:00,134.130.202.77,187.187.115.28,19660,80,17,390,25323,Normal
14-flow,2026-04-04 23:38:01,157.151.24.117,192.76.185.83,49828,443,17,212,22234,Normal
15-flow,2026-04-04 23:38:02,176.84.67.198,78.155.64.145,17911,389,6,10,12527,Normal
16-flow,2026-04-04 23:38:03,29.62.210.47,44.145.65.114,16942,443,17,349,47949,Normal
17-flow,2026-04-04 23:38:04,12.212.28.239,231.224.89.25,41360,445,17,373,31278,Normal
18-flow,2026-04-04 23:38:05,2.218.138.68,196.58.179.165,48141,445,17,254,22729,LDAP
19-flow,2026-04-04 23:38:06,49.124.248.248,50.51.43.204,6592,80,6,269,20833,LDAP
20-flow,2026-04-04 23:38:07,159.182.235.74,11.50.102.227,59623,389,17,25,21788,Normal
21-flow,2026-04-04 23:38:08,120.176.55.193,108.199.211.94,50264,389,6,67,48989,NetBIOS
22-flow,2026-04-04 23:38:09,132.110.49.50,145.246.91.56,37926,389,6,232,47515,NetBIOS
23-flow,2026-04-04 23:38:10,172.68.91.223,86.218.239.184,62307,389,6,45,30088,Normal
24-flow,2026-04-04 23:38:11,52.169.242.75,132.100.112.111,52805,80,6,175,8682,Normal
25-flow,2026-04-04 23:38:12,83.120.196.195,66.191.111.115,31766,389,17,475,7584,Normal
26-flow,2026-04-04 23:38:13,42.231.142.6,33.188.219.191,27541,445,17,91,5467,LDAP
27-flow,2026-04-04 23:38:14,179.177.215.11,212.240.136.136,5274,80,6,76,36703,LDAP
28-flow,2026-04-04 23:38:15,202.73.27.55,194.144.51.223,65030,443,6,493,11864,Normal
29-flow,2026-04-04 23:38:16,111.116.61.135,199.205.250.135,56654,443,17,55,44354,Normal
30-flow,2026-04-04 23:38:17,235.55.227.116,137.4.166.221,42173,445,6,129,33538,Normal
31-flow,2026-04-04 23:38:18,240.132.29.14,123.51.252.18,49274,443,17,53,19102,Normal
32-flow,2026-04-04 23:38:19,66.205.214.198,112.133.65.109,34203,389,6,450,9042,Normal
33-flow,2026-04-04 23:38:20,35.56.97.80,230.136.155.229,9034,445,6,489,26268,NetBIOS
34-flow,2026-04-04 23:38:21,90.239.68.52,98.76.153.232,17922,389,6,139,31360,Normal
35-flow,2026-04-04 23:38:22,139.210.202.42,25.230.44.106,44839,80,17,316,10449,Normal
36-flow,2026-04-04 23:38:23,80.47.151.78,2.70.135.133,57067,445,17,464,7703,Normal
37-flow,2026-04-04 23:38:24,11.107.42.214,155.64.5.94,37163,389,17,193,46432,Normal
38-flow,2026-04-04 23:38:25,169.167.24.34,197.118.228.148,41908,443,17,21,7934,Normal
39-flow,2026-04-04 23:38:26,63.207.116.37,246.245.65.43,46207,80,6,312,24728,NetBIOS
40-flow,2026-04-04 23:38:27,83.242.2.127,28.194.100.56,32913,80,17,63,44614,Normal
